image_name,Start/Restar the game,Start/Restar the game_confidence,The joy of the players,The joy of the players_confidence,yellow card,yellow card_confidence,Red Card,Red Card_confidence,Stadium View,Stadium View_confidence,Penalty Image,Penalty Image_confidence,Free Kick,Free Kick_confidence,Generic Moment,Generic Moment_confidence
14147.jpg,1,0.5081439018249512,0,0.4530917704105377,0,0.4197556972503662,1,0.7137882709503174,0,0.45360925793647766,1,0.5144822597503662,1,0.5390623807907104,0,0.39550724625587463
36480.jpg,0,0.41420778632164,0,0.3907298147678375,0,0.3989761173725128,1,0.6153578758239746,0,0.3225178122520447,0,0.4390004277229309,1,0.5154476165771484,0,0.40188100934028625
16750.jpg,0,0.4128103256225586,0,0.3982805013656616,1,0.5646514296531677,1,0.5718682408332825,0,0.3400869369506836,1,0.548391580581665,1,0.5327544212341309,0,0.44745904207229614
26693.jpg,0,0.31379613280296326,0,0.43340519070625305,0,0.4810815751552582,1,0.5245987772941589,1,0.5185819864273071,1,0.6212161183357239,0,0.4625605642795563,0,0.48144063353538513
46601.jpg,0,0.4533006250858307,1,0.5636507868766785,1,0.5492417812347412,1,0.5916042923927307,0,0.40999090671539307,1,0.5607252717018127,0,0.44584986567497253,0,0.27550825476646423
17328.jpg,0,0.4656223654747009,1,0.5412097573280334,1,0.5769407153129578,0,0.4781298339366913,1,0.500008225440979,1,0.5132998824119568,1,0.5215476155281067,0,0.4981975257396698
21842.jpg,0,0.26175937056541443,0,0.3937997817993164,1,0.6249194145202637,0,0.43808460235595703,0,0.48830747604370117,1,0.5545964241027832,1,0.5442599058151245,0,0.4034423530101776
94747.jpg,1,0.6864499449729919,0,0.4485582113265991,0,0.420062392950058,0,0.4784170091152191,0,0.43498215079307556,0,0.36572927236557007,1,0.5082035064697266,1,0.5703104734420776
16036.jpg,0,0.4274785816669464,0,0.43558910489082336,1,0.5507422089576721,0,0.44341394305229187,1,0.5244490504264832,1,0.6414228677749634,1,0.6013233661651611,0,0.3390699326992035
44016.jpg,0,0.4027288258075714,0,0.4426894783973694,1,0.6221166849136353,1,0.5119068026542664,0,0.4714461863040924,1,0.6820932626724243,0,0.4321611225605011,0,0.3677366077899933
